name,price, LINKS
"Samsung Galaxy A03s Android Smartphone, 6.5-inch Infinity-V HD+ Display, 3GB RAM and 32GB of expandable internal memory, 5,000 mAh battery, Blue [UK Version]",,https://www.amazon.co.uk//Samsung-Smartphone-6-5-inch-Infinity-V-expandable/dp/B0987CXSZZ/ref=sr_1_17?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-17
"Samsung Galaxy S10e 128 GB Hybrid-SIM Android Smartphone - Black, (UK Version)",,https://www.amazon.co.uk//Samsung-Galaxy-Dual-SIM-Android-Smartphone-Prism-Black/dp/B07NWM7V9M/ref=sr_1_18?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-18
Samsung Galaxy Note 9 (Single SIM) 128 GB 6.4-Inch Android 8.1 Oreo UK Version SIM-Free Smartphone – Midnight Black,,https://www.amazon.co.uk//Samsung-6-4-Inch-Android-SIM-Free-Smartphone-Midnight-Black/dp/B07G3NCR2V/ref=sr_1_19?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-19
Samsung Galaxy S5 SIM-Free Smartphone - Black,,https://www.amazon.co.uk//Samsung-Galaxy-S5-SIM-Free-Smartphone-Black/dp/B00JR6JG1W/ref=sr_1_20?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-20
Samsung Galaxy S9 Plus (Single SIM) 128 GB 6.2-Inch Android 8.0 Oreo UK Version SIM-Free Smartphone - Midnight Black,,https://www.amazon.co.uk//Samsung-6-2-Inch-Android-SIM-Free-Smartphone-Midnight-Black/dp/B079X582LF/ref=sr_1_21?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-21
"Samsung Galaxy S9 5.8"" 64GB 4G Smartphone - Midnight Black - Unlocked & SIM Free",,https://www.amazon.co.uk//Samsung-Galaxy-SM-G960F-64GB-Black/dp/B07B4VRH22/ref=sr_1_22?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-22
"Samsung Galaxy S20+ 5G Android Smartphone - SIM Free Mobile Phone - Cosmic Black, 128 GB",,https://www.amazon.co.uk//Samsung-Galaxy-S20-Android-Smartphone-Cosmic-Black/dp/B084GX3H7W/ref=sr_1_23?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-23
Samsung G960F Galaxy S9-64GB Sunrise Gold - Limited Edition,,https://www.amazon.co.uk//Samsung-G960F-Galaxy-Sunrise-unlocked-Gold/dp/B07D4PRJKW/ref=sr_1_24?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-24
Samsung Galaxy S7 Edge 32 GB SIM-Free Smartphone - Black,£350.00,https://www.amazon.co.uk//Samsung-Galaxy-Edge-SIM-Free-Smartphone-Black/dp/B01C5OIINO/ref=sr_1_25?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-25
"Samsung Galaxy J3 SM-J320F (2016) 8GB 4G - smartphones (Single SIM, Android, MicroSIM, GSM, UMTS, WCDMA, LTE),Black",,https://www.amazon.co.uk//Samsung-Galaxy-J3-SM-J320F-8GB/dp/B01HJB6RR2/ref=sr_1_26?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-26
Samsung Galaxy Note 4 charcoal black,,https://www.amazon.co.uk//Samsung-Galaxy-Note-charcoal-black/dp/B00NB1DVQA/ref=sr_1_27?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-27
"Samsung Galaxy Note10 Lite Mobile Phone; Sim Free Smartphone - Aura Glow, (UK Version)",,https://www.amazon.co.uk//Samsung-Galaxy-Note10-Mobile-Smartphone/dp/B083YBF86L/ref=sr_1_28?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-28
Samsung Galaxy J3 2017 UK SIM-Free Smartphone - Black,,https://www.amazon.co.uk//Samsung-Galaxy-UK-SIM-Free-Smartphone-Black/dp/B0741BF68W/ref=sr_1_29?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-29
"Samsung Galaxy S10E - Smartphone 128GB, 6GB RAM, Dual Sim, Prism Black",,https://www.amazon.co.uk//Samsung-Galaxy-128GB-SM-G970F-Prism-Black/dp/B07Y8R1SXS/ref=sr_1_30?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-30
"SIM Free Google Pixel 4a 128GB Mobile Phone - Just Black, The Google phone, at a helpful price",,https://www.amazon.co.uk//Google-Android-Mobile-battery-Nightsight-Just-Black/dp/B08F7ZM2G4/ref=sr_1_31?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-31
"Google Pixel 3A Just Black 64GB, GA00747-UK",,https://www.amazon.co.uk//Google-Pixel-Just-Black-64GB/dp/B07RL859ZT/ref=sr_1_32?crid=3FAAY7NY4MKM&keywords=samsung+galaxy+s8&qid=1652090821&sprefix=++++samsung+galaxy+s8%2Caps%2C76&sr=8-32
